index,features
1,PHQ4_1_Prefer not to say
2,PHQ4_4_Prefer not to say
3,PHQ4_1_Not at all
4,PHQ4_4_N/A
5,PHQ4_1_Several days
6,PHQ4_4_Not at all
7,WCRex2_A lot of confidence
8,PHQ4_4_Several days
9,PHQ4_1_N/A
10,r1_2
11,state_Queensland
12,state_South Australia
13,i11_health_Somewhat willing
14,WCRex2_No confidence at all
15,WCRex2_Not very much confidence
16,state_Northern Territory
17,i11_health_Not sure
18,PHQ4_4_Nearly every day
19,PHQ4_1_Nearly every day
20,WCRex2_Don't know
21,state_Tasmania
22,i11_health_Very unwilling
23,i11_health_Very willing
24,i9_health_Yes
25,state_Western Australia
26,i11_health_Somewhat unwilling
27,state_New South Wales
28,state_Victoria
29,i9_health_Not sure
30,r1_1
